"vaccines_are_safe","age","party","education","books","trump_approval","climate_change"
"Strongly Disagree",39,"Republican","College degree",12,"Strongly Approve","Not Real At All"
"Somewhat Agree",51,"Independent","College degree",24,"Neither approve nor disapprove","Real but not Caused by People"
"Strongly Agree",83,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",52,"Republican","College degree",1,"Strongly Approve","Not Real At All"
"Somewhat Agree",53,"Independent","Some college",2,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",66,"Democrat","Graduate degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",37,"Independent","College degree",2,"Strongly disapprove","Not Real At All"
"Strongly Agree",53,"Democrat","High school",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",65,"Independent","Some college",5,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",18,"Democrat","High school",50,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",43,"Independent","College degree",50,"Somewhat disapprove","Not Real At All"
"Strongly Agree",65,"Independent","Some college",20,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Agree",86,"Independent","High school",20,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",76,"Democrat","Graduate degree",25,"Strongly Approve","Real and Caused by People"
"Strongly Agree",35,"Independent","Graduate degree",45,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",40,"Independent","College degree",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",48,"Democrat","Graduate degree",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",36,"Independent","College degree",7,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",48,"Democrat","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",68,"Independent","Graduate degree",50,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",51,"Republican","Some college",3,"Strongly Approve","Real but not Caused by People"
"Somewhat Disagree",53,"Independent","Some college",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",43,"Democrat","Some college",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",76,"Independent","High school",0,"Strongly Approve","Real and Caused by People"
"Strongly Agree",44,"Independent","College degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",75,"Republican","Some college",4,"Somewhat Approve","Real but not Caused by People"
"Strongly Disagree",35,"Democrat","Some college",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",43,"Independent","Some college",3,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",30,"Independent","Some college",7,"Somewhat Approve","Real but not Caused by People"
"Somewhat Agree",21,"Democrat","High school",0,"Somewhat Approve","Not Real At All"
"Strongly Agree",34,"Independent","College degree",5,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",43,"Independent","Some college",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Democrat","High school",0,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",20,"Democrat","Some college",3,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",47,"Democrat","Graduate degree",6,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",28,"Republican","Some college",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",22,"Democrat","College degree",40,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",42,"Independent","Some college",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",37,"Independent","Graduate degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",50,"Independent","Graduate degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",33,"Democrat","College degree",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",47,"Democrat","Graduate degree",80,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",46,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",27,"Republican","College degree",150,"Strongly Approve","Real and Caused by People"
"Strongly Agree",21,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Neither Agree nor Disagree",75,"Republican","College degree",7,"Strongly Approve","Real and Caused by People"
"Strongly Agree",24,"Independent","College degree",15,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",24,"Republican","Some college",10,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",30,"Independent","Some college",10,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",23,"Independent","High school",200,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",51,"Democrat","High school",1,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",53,"Independent","High school",0,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",51,"Independent","Graduate degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",66,"Independent","High school",100,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Agree",50,"Democrat","Graduate degree",5,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",24,"Democrat","Graduate degree",25,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",47,"Republican","Graduate degree",100,"Neither approve nor disapprove","Real but not Caused by People"
"Somewhat Agree",50,"Independent","Graduate degree",50,"Strongly Approve","Not Real At All"
"Strongly Agree",41,"Republican","College degree",5,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",86,"Republican","Graduate degree",25,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",54,"Republican","Graduate degree",6,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",69,"Democrat","Some college",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",47,"Independent","High school",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",37,"Independent","Some college",1,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",38,"Democrat","College degree",15,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",46,"Republican","College degree",1,"Strongly Approve","Not Real At All"
"Somewhat Agree",52,"Republican","High school",5,"Strongly Approve","Real but not Caused by People"
"Strongly Disagree",65,"Republican","College degree",0,"Strongly Approve","Not Real At All"
"Strongly Agree",35,"Republican","College degree",2,"Strongly Approve","Not Real At All"
"Somewhat Disagree",50,"Republican","College degree",0,"Strongly Approve","Not Real At All"
"Strongly Agree",51,"Democrat","Some college",200,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",96,"Independent","Graduate degree",1000,"Strongly Approve","Real and Caused by People"
"Strongly Agree",47,"Democrat","Graduate degree",7,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",30,"Independent","College degree",5,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",53,"Independent","College degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",86,"Democrat","Graduate degree",150,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",48,"Republican","Some college",1,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",51,"Independent","High school",0,"Strongly Approve","Not Real At All"
"Strongly Agree",65,"Republican","High school",50,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",45,"Independent","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",47,"Republican","Some college",1,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",48,"Independent","Graduate degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",48,"Democrat","High school",0,"Strongly disapprove","Not Real At All"
"Strongly Agree",30,"Republican","High school",0,"Strongly Approve","Not Real At All"
"Strongly Disagree",48,"Democrat","Other",30,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",51,"Democrat","Some college",0,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",35,"Independent","Graduate degree",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",48,"Democrat","Some college",1,"Somewhat disapprove","Real and Caused by People"
"Strongly Disagree",22,"Independent","High school",200,"Strongly Approve","Not Real At All"
"Strongly Disagree",51,"Independent","Some college",40,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",73,"Republican","Some college",5,"Strongly Approve","Not Real At All"
"Somewhat Agree",23,"Independent","College degree",8,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",51,"Republican","Some college",15,"Strongly Approve","Not Real At All"
"Somewhat Agree",42,"Republican","High school",1,"Strongly Approve","Real and Caused by People"
"Strongly Agree",84,"Democrat","Graduate degree",30,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",77,"Republican","High school",260,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",37,"Republican","College degree",4,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",50,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",30,"Republican","Graduate degree",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",31,"Democrat","Graduate degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",24,"Democrat","College degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",26,"Independent","Graduate degree",5,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",35,"Republican","Graduate degree",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",18,"Republican","Some college",9,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",77,"Independent","College degree",250,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Democrat","College degree",6,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",58,"Republican","Some college",30,"Strongly Approve","Not Real At All"
"Strongly Agree",41,"Independent","Some college",0,"Strongly disapprove","Real but not Caused by People"
"Strongly Disagree",71,"Independent","Graduate degree",0,"Strongly disapprove","Not Real At All"
"Strongly Agree",61,"Democrat","Some college",0,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",34,"Democrat","Some college",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",61,"Republican","College degree",3,"Strongly Approve","Not Real At All"
"Strongly Agree",24,"Independent","Graduate degree",12,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",70,"Independent","High school",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",21,"Democrat","Some college",25,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",67,"Independent","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",70,"Independent","College degree",5,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",80,"Independent","Graduate degree",30,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",41,"Independent","High school",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Democrat","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",54,"Democrat","Graduate degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",36,"Independent","Some college",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",38,"Independent","Some college",5,"Strongly disapprove","Not Real At All"
"Strongly Agree",42,"Independent","College degree",0,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",23,"Democrat","Some college",0,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",63,"Republican","College degree",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",32,"Independent","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",62,"Independent","College degree",10,"Somewhat Approve","Real but not Caused by People"
"Somewhat Agree",47,"Independent","Some college",200,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",34,"Independent","College degree",18,"Somewhat Approve","Real and Caused by People"
"Somewhat Disagree",23,"Independent","Some college",2,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",27,"Independent","Some college",20,"Strongly disapprove","Real but not Caused by People"
"Somewhat Agree",48,"Democrat","Some college",1,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",36,"Democrat","Some college",2,"Somewhat Approve","Not Real At All"
"Somewhat Agree",47,"Republican","College degree",20,"Strongly Approve","Not Real At All"
"Strongly Agree",48,"Republican","Graduate degree",4,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",54,"Independent","Graduate degree",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Democrat","Some college",60,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",50,"Democrat","College degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",35,"Democrat","College degree",3,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Agree",48,"Independent","High school",1,"Somewhat disapprove","Real and Caused by People"
"Somewhat Agree",50,"Independent","High school",2,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",38,"Independent","Some college",10,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Agree",36,"Independent","Graduate degree",7,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",67,"Democrat","Graduate degree",70,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",38,"Republican","Graduate degree",3,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",58,"Independent","Graduate degree",20,"Somewhat disapprove","Not Real At All"
"Somewhat Agree",42,"Republican","Some college",4,"Strongly Approve","Real but not Caused by People"
"Neither Agree nor Disagree",51,"Independent","College degree",2,"Somewhat Approve","Not Real At All"
"Strongly Agree",48,"Independent","Some college",40,"Neither approve nor disapprove","Not Real At All"
"Strongly Agree",37,"Independent","High school",100,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",50,"Democrat","High school",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Independent","Some college",30,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",52,"Republican","Some college",50,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",41,"Independent","Some college",200,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",65,"Democrat","Some college",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",53,"Republican","College degree",0,"Somewhat Approve","Real and Caused by People"
"Strongly Disagree",43,"Independent","High school",0,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",28,"Independent","College degree",1,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",22,"Independent","College degree",6,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",58,"Independent","Graduate degree",40,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",58,"Republican","High school",0,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",54,"Democrat","Some college",0,"Strongly Approve","Real and Caused by People"
"Strongly Agree",65,"Independent","Graduate degree",5,"Somewhat disapprove","Real but not Caused by People"
"Strongly Agree",92,"Democrat","Graduate degree",100,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",65,"Independent","Graduate degree",6,"Strongly Approve","Not Real At All"
"Somewhat Agree",51,"Republican","College degree",5,"Strongly Approve","Not Real At All"
"Strongly Disagree",56,"Democrat","High school",16,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",49,"Independent","College degree",15,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",49,"Republican","High school",3,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",63,"Independent","High school",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",58,"Independent","High school",3,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",59,"Independent","Graduate degree",1,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Republican","College degree",20,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",55,"Republican","College degree",20,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",61,"Democrat","Some college",100,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",53,"Republican","High school",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",55,"Independent","College degree",10,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",57,"Democrat","Some college",8,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",56,"Democrat","College degree",4,"Strongly Approve","Real and Caused by People"
"Strongly Agree",49,"Republican","Some college",12,"Strongly Approve","Not Real At All"
"Strongly Disagree",50,"Republican","College degree",20,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",83,"Independent","High school",12,"Strongly Approve","Not Real At All"
"Strongly Agree",45,"Independent","College degree",25,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",57,"Democrat","Some college",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",80,"Republican","Some college",0,"Strongly Approve","Not Real At All"
"Somewhat Agree",70,"Independent","Graduate degree",30,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",50,"Independent","High school",1,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",42,"Democrat","College degree",12,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",54,"Independent","Some college",12,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",72,"Republican","Graduate degree",5,"Strongly Approve","Not Real At All"
"Strongly Agree",49,"Republican","Graduate degree",12,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",60,"Independent","Some college",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",54,"Democrat","High school",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",54,"Republican","Some college",1,"Strongly Approve","Real and Caused by People"
"Strongly Agree",49,"Democrat","High school",0,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",27,"Independent","Some college",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",30,"Independent","High school",20,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",25,"Independent","Other",3,"Somewhat Approve","Real but not Caused by People"
"Somewhat Disagree",60,"Independent","Some college",4,"Strongly Approve","Real but not Caused by People"
"Somewhat Disagree",46,"Republican","College degree",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",35,"Democrat","College degree",30,"Strongly disapprove","Real but not Caused by People"
"Somewhat Disagree",62,"Republican","Graduate degree",20,"Strongly Approve","Not Real At All"
"Somewhat Agree",60,"Republican","College degree",4,"Strongly Approve","Not Real At All"
"Strongly Agree",65,"Republican","College degree",0,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",47,"Independent","College degree",8,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",43,"Independent","High school",4,"Strongly disapprove","Not Real At All"
"Strongly Agree",58,"Independent","Some college",5,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",59,"Independent","Graduate degree",16,"Neither approve nor disapprove","Real but not Caused by People"
"Strongly Agree",58,"Democrat","Graduate degree",40,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",66,"Democrat","Some college",12,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",42,"Democrat","Graduate degree",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Democrat","High school",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",55,"Independent","Graduate degree",25,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",70,"Independent","Graduate degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",47,"Democrat","College degree",2,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",62,"Independent","High school",30,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",53,"Independent","Other",30,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",72,"Republican","Graduate degree",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",60,"Republican","Some college",5,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",51,"Republican","Some college",100,"Strongly Approve","Real and Caused by People"
"Strongly Agree",51,"Republican","High school",6,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",50,"Democrat","College degree",20,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",60,"Republican","College degree",3,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",50,"Democrat","Graduate degree",50,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",58,"Democrat","Some college",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",55,"Independent","College degree",6,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",47,"Independent","Graduate degree",22,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",61,"Independent","Some college",0,"Strongly Approve","Real and Caused by People"
"Somewhat Disagree",51,"Democrat","Some college",0,"Strongly disapprove","Real but not Caused by People"
"Strongly Disagree",56,"Independent","College degree",50,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",69,"Independent","High school",40,"Strongly Approve","Real and Caused by People"
"Strongly Agree",50,"Independent","College degree",12,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",52,"Republican","Graduate degree",4,"Strongly Approve","Not Real At All"
"Somewhat Disagree",18,"Democrat","High school",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",63,"Independent","Some college",2,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",55,"Republican","Some college",60,"Strongly Approve","Not Real At All"
"Somewhat Agree",45,"Democrat","College degree",12,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",50,"Republican","Graduate degree",12,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",56,"Democrat","Other",1,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",66,"Democrat","Graduate degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",55,"Independent","High school",3,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",27,"Democrat","Some college",17,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",21,"Independent","Some college",13,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",58,"Democrat","College degree",200,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",46,"Independent","College degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",37,"Independent","High school",7,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",21,"Republican","Some college",0,"Somewhat Approve","Real and Caused by People"
"Strongly Disagree",33,"Independent","College degree",50,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",50,"Republican","Graduate degree",12,"Strongly Approve","Not Real At All"
"Strongly Agree",22,"Democrat","College degree",6,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",45,"Democrat","Some college",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",33,"Republican","Graduate degree",10,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",29,"Democrat","College degree",100,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",30,"Democrat","College degree",5,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",67,"Democrat","Some college",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",57,"Independent","Some college",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",20,"Democrat","High school",1,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",51,"Independent","Graduate degree",1,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",48,"Republican","Some college",3,"Somewhat disapprove","Real but not Caused by People"
"Strongly Agree",63,"Republican","College degree",80,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",72,"Democrat","Graduate degree",5,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",61,"Democrat","High school",100,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",59,"Democrat","Graduate degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",57,"Independent","College degree",3,"Neither approve nor disapprove","Not Real At All"
"Strongly Disagree",50,"Democrat","College degree",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",27,"Democrat","Graduate degree",25,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",80,"Democrat","College degree",20,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",83,"Republican","College degree",0,"Strongly Approve","Not Real At All"
"Strongly Agree",90,"Democrat","College degree",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",24,"Democrat","College degree",1,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",70,"Independent","High school",1,"Somewhat Approve","Real and Caused by People"
"Neither Agree nor Disagree",22,"Independent","College degree",4,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",49,"Independent","College degree",12,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",23,"Democrat","Some college",10,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",24,"Democrat","Some college",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",50,"Independent","Some college",0,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",51,"Independent","College degree",2,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",68,"Independent","Some college",2,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",21,"Independent","Some college",6,"Somewhat disapprove","Real but not Caused by People"
"Strongly Agree",34,"Democrat","Other",6,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",24,"Independent","Some college",56,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",46,"Independent","Graduate degree",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",75,"Democrat","Some college",2,"Strongly disapprove","Not Real At All"
"Strongly Agree",18,"Independent","Some college",15,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",55,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Independent","High school",5,"Strongly disapprove","Not Real At All"
"Strongly Disagree",27,"Independent","High school",4,"Somewhat disapprove","Real but not Caused by People"
"Strongly Agree",89,"Republican","Some college",5,"Strongly Approve","Not Real At All"
"Neither Agree nor Disagree",50,"Republican","Graduate degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",26,"Independent","Some college",2,"Strongly disapprove","Not Real At All"
"Strongly Agree",34,"Independent","High school",0,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",26,"Independent","College degree",5,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",36,"Republican","Graduate degree",7,"Strongly disapprove","Real and Caused by People"
"Neither Agree nor Disagree",75,"Independent","Graduate degree",62,"Strongly Approve","Real and Caused by People"
"Strongly Agree",44,"Independent","Some college",0,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",70,"Independent","Graduate degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",79,"Independent","Some college",25,"Strongly Approve","Real and Caused by People"
"Strongly Disagree",40,"Democrat","Graduate degree",59,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",66,"Republican","Graduate degree",2,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",53,"Independent","High school",2,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",23,"Independent","College degree",2,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",80,"Democrat","College degree",1000,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",26,"Independent","College degree",7,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",45,"Independent","Some college",5,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",62,"Democrat","Some college",4,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",75,"Democrat","Some college",1,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",32,"Independent","High school",0,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Agree",46,"Independent","College degree",1,"Strongly Approve","Real and Caused by People"
"Strongly Agree",55,"Democrat","College degree",300,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",51,"Republican","Some college",3,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",39,"Democrat","College degree",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",50,"Democrat","Some college",12,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",45,"Independent","Graduate degree",15,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",59,"Independent","Graduate degree",30,"Strongly disapprove","Real but not Caused by People"
"Somewhat Disagree",50,"Independent","College degree",5,"Neither approve nor disapprove","Not Real At All"
"Strongly Agree",29,"Democrat","College degree",5,"Strongly disapprove","Real and Caused by People"
"Neither Agree nor Disagree",87,"Democrat","Other",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",29,"Independent","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",25,"Independent","High school",0,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",39,"Democrat","Graduate degree",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",40,"Independent","College degree",4,"Somewhat Approve","Real and Caused by People"
